Размер,Раздел,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Продавец,Oskelly ID,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Белый,Короткие ручки,Да,Отличное состояние,Частный продавец,2033393,1500000,Kelly,Да,,
INT L,Женское,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Другое,Мульти,Короткие ручки,,Отличное состояние,Частный продавец,2031493,260000,Book,,,
INT XS,Женское,Сумки через плечо,HERMES PRE-OWNED,Лакированная кожа,Коричневый,Средние ручки,Да,Новое с биркой,Частный продавец,2033116,740000,Kelly,,Да,
INT M,Женское,Сумки с короткими ручками,GUCCI,Кожа,Черный,Средние ручки,Да,Отличное состояние,Частный продавец,2031552,60000,Bamboo,Да,,
INT S,Женское,Сумки через плечо,BALMAIN,Кожа,Бордовый,Длинный ремень,,Хорошее состояние,Частный продавец,2031554,103000,,,,
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Шерсть,Темно-синий,Длинный ремень,Да,Новое с биркой,Частный продавец,2033518,295000,Evelyne,,Да,
INT S,Женское,Сумки через плечо,FURLA,Другое,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2031620,18000,,,,
INT U,Женское,Аксессуары для сумок,CHRISTIAN DIOR PRE-OWNED,Ткань,Бордовый,Длинный ремень,,Отличное состояние,Частный продавец,2031294,80000,,,,
INT U,Женское,Аксессуары для сумок,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,Да,Новое с биркой,Частный продавец,2032864,103000,,,,
INT U,Женское,Аксессуары для сумок,HERMES PRE-OWNED,Кожа,Черный,Средние ручки,Да,Новое с биркой,Частный продавец,2032690,78000,,,Да,
INT S,Женское,Сумки через плечо,GUCCI,Кожа,Красный,Длинный ремень,Да,Отличное состояние,Частный продавец,2027745,50000,Soho,,,
INT S,Женское,Сумки через плечо,GUCCI,Кожа,Бирюзовый,Длинный ремень,,Хорошее состояние,Частный продавец,2027756,65000,Emily,,,
INT S,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Длинный ремень,,Хорошее состояние,Частный продавец,2027789,65000,Favorite,,,
INT M,Женское,Сумки тоут,CHANEL PRE-OWNED,Кожа,Черный,Средние ручки,,Хорошее состояние,Частный продавец,2018038,95000,,,,
INT M,Женское,Сумки с короткими ручками,GUCCI,Кожа,Черный,Короткие ручки,,Хорошее состояние,Частный продавец,2018113,100000,GG Marmont,,,
INT M,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Длинный ремень,Да,Отличное состояние,Частный продавец,2005550,110000,,,,
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Белый,Средние ручки,,Хорошее состояние,Частный продавец,2005529,65000,,,,
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,,Отличное состояние,Частный продавец,2005539,125000,,,,
INT S,Женское,Сумки через плечо,GUCCI,Кожа,Красный,Длинный ремень,,Отличное состояние,Частный продавец,2005145,75000,GG Marmont,,,
INT M,Женское,Рюкзаки,LOUIS VUITTON PRE-OWNED,Другое,Белый,Средние ручки,Да,Хорошее состояние,Частный продавец,1951664,110000,,,,
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Средние ручки,Да,Отличное состояние,Частный продавец,1945672,110000,,,,
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Другое,Длинный ремень,,Отличное состояние,Частный продавец,1644269,80000,,,,
INT S,Женское,Рюкзаки,GUCCI,Кожа,Черный,Средние ручки,,Отличное состояние,Частный продавец,1522241,110000,GG Marmont,,,
INT S,Женское,Рюкзаки,GUCCI,Кожа,Красный,Средние ручки,Да,Отличное состояние,Частный продавец,1522229,110000,GG Marmont,,,
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Другое,Средние ручки,,Хорошее состояние,Частный продавец,1708035,65000,,,,
INT M,Женское,Сумки тоут,GUCCI,Экзотическая кожа,Другое,Средние ручки,,Отличное состояние,Частный продавец,1784959,65000,,Да,,
INT U,Женское,Сумки тоут,JORDAN,Ткань,Розовый,Средние ручки,,Новое с биркой,"Частный, есть возврат",1986436,12000,,,,
INT U,Женское,Сумки тоут,JORDAN,Ткань,Антрацит,Средние ручки,,Новое с биркой,"Частный, есть возврат",1871938,12000,,,,
INT S,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Оранжевый,Средние ручки,,Хорошее состояние,Частный продавец,2031389,46000,Trapeze,,,
INT L,Женское,Сумки через плечо,JIL SANDER,Кожа,Хаки,Длинный ремень,,Отличное состояние,Частный продавец,2030829,98000,,,,
INT U,Женское,Сумки тоут,SALVATORE FERRAGAMO,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2027051,151560,,,,
INT M,Женское,Сумки тоут,DOLCE&GABBANA,Кожа,Черный,Длинный ремень,,Хорошее состояние,Частный продавец,2030826,68000,Sicily,,,
INT XS,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Другое,Длинный ремень,,Хорошее состояние,Частный продавец,2031477,250000,,,,
INT U,Женское,Сумки тоут,SAINT LAURENT,Кожа,Черный,Средние ручки,,Новое с биркой,Бутик,2021598,186800,,,,
INT S,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Жаккард,Темно-синий,Длинный ремень,Да,Отличное состояние,Частный продавец,2031409,155000,30 Montaigne,,Да,
INT U,Женское,Клатчи и вечерние сумки,CHARLOTTE OLYMPIA,Другое,Бирюзовый,Короткие ручки,,Новое с биркой,Частный продавец,1926484,37000,,,,
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Черный,Короткие ручки,Да,Новое с биркой,Частный продавец,2027171,234900,,,,Да
INT U,Женское,Сумки с короткими ручками,FENDI,Ткань,Коричневый,Короткие ручки,Да,Новое с биркой,Частный продавец,2027141,234900,,,,Да
INT S,Женское,Клатчи и вечерние сумки,ELISABETTA FRANCHI,Искусственная кожа,Бежевый,Короткие ручки,Да,Отличное состояние,Частный продавец,2030718,14000,,,,
INT M,Женское,Сумки через плечо,JACQUEMUS,Замша,Бежевый,Средние ручки,Да,Новое с биркой,Частный продавец,2032285,57000,Le Bambino,,,
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Кожа,Черный,Средние ручки,,Новое с биркой,Бутик,2028013,61900,,,,
INT M,Женское,Сумки через плечо,GUCCI,Кожа,Черный,Средние ручки,Да,Отличное состояние,Частный продавец,2031538,170000,GG Marmont,,Да,
INT S,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,Да,Новое с биркой,Частный продавец,2030620,230000,Cassette,,,
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Черный,Средние ручки,,Новое с биркой,Бутик,2028011,64900,,,,
INT S,Женское,Сумки через плечо,JACQUEMUS,Замша,Бежевый,Средние ручки,Да,Отличное состояние,Частный продавец,2032545,42000,Le Bambino,,,
INT M,Женское,Сумки тоут,M2MALLETIER,Кожа,Черный,Короткие ручки,,Хорошее состояние,Частный продавец,2030761,13500,,,,
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Другое,Бежевый,Средние ручки,,Новое с биркой,Бутик,2028005,67900,,,,
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Кожа,Бежевый,Средние ручки,,Новое с биркой,Бутик,2027995,63900,,,,
INT M,Женское,Сумки через плечо,OFF-WHITE,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2033522,180000,,,,
INT S,Женское,Клатчи и вечерние сумки,JIL SANDER,Кожа,Зеленый,Длинный ремень,,Отличное состояние,Частный продавец,2030907,75000,,,,
INT M,Женское,Рюкзаки,COACH,Искусственная кожа,Черный,Средние ручки,,Новое с биркой,Бутик,2027248,29820,,,,
INT S,Женское,Сумки через плечо,JACQUEMUS,Кожа,Розовый,Средние ручки,Да,Новое с биркой,Частный продавец,2033975,73000,Le Carinu,,,
INT L,Женское,Сумки с короткими ручками,DKNY,Ткань,Бежевый,Короткие ручки,,Отличное состояние,Частный продавец,2030388,13000,,Да,,
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Белый,Средние ручки,Да,Новое с биркой,Частный продавец,2027190,359900,,,,Да
INT M,Женское,Рюкзаки,PRADA,Другое,Другое,Короткие ручки,,Отличное состояние,Частный продавец,2031327,55000,,,,
INT S,Женское,Сумки тоут,VERSACE,Кожа,Черный,Длинный ремень,,Хорошее состояние,Частный продавец,2031194,120000,Medusa,,,
INT U,Женское,Клатчи и вечерние сумки,FENDI,Кожа,Коричневый,Длинный ремень,Да,Новое с биркой,Частный продавец,2027109,103990,,,,Да
INT U,Женское,Сумки через плечо,NEOUS,Кожа,Черный,Средние ручки,,Новое с биркой,Частный продавец,1991886,60000,,,,
INT S,Женское,Клатчи и вечерние сумки,JIMMY CHOO,Другое,Серебряный,Средние ручки,Да,Отличное состояние,Частный продавец,2030922,65550,,,Да,
INT M,Женское,Сумки тоут,FENDI,Кожа,Белый,Длинный ремень,,Хорошее состояние,Частный продавец,2030532,150000,Baguette,,,
INT U,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2027313,296471,Pochette Metis,,,
INT M,Женское,Сумки тоут,MICHAEL MICHAEL KORS,Другое,Черный,Средние ручки,Да,Новое с биркой,Частный продавец,2034000,20800,,,,Да
INT M,Женское,Сумки тоут,BALMAIN,Кожа,Коричневый,Длинный ремень,,Отличное состояние,Частный продавец,2031206,150000,B-Army,,,
INT U,Женское,Клатчи и вечерние сумки,SAINT LAURENT,Кожа,Бежевый,Длинный ремень,,Новое с биркой,Бутик,2021600,189900,,,,
INT XS,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,Да,Новое с биркой,Частный продавец,2032469,750000,Constance,,Да,
INT M,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Ткань,Бежевый,Длинный ремень,,Отличное состояние,Частный продавец,2031227,400000,Lady,,,
INT U,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Коричневый,Длинный ремень,Да,Новое с биркой,Частный продавец,2026817,482900,,,,Да
INT U,Женское,Сумки тоут,BURBERRY,Хлопок,Мульти,Средние ручки,,Новое с биркой,Частный продавец,2025050,136740,,,,
INT M,Женское,Сумки тоут,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,Да,Новое с биркой,Частный продавец,2032563,515000,Garden Party,,Да,
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Лакированная кожа,Бордовый,Короткие ручки,,Отличное состояние,Частный продавец,2030658,65000,Alma,,,
INT U,Женское,Сумки через плечо,BURBERRY,Другое,Зеленый,Средние ручки,,Новое с биркой,Частный продавец,2024996,186770,,,,
INT M,Женское,Сумки с короткими ручками,VALENTINO,Кожа,Желтый,Короткие ручки,,Хорошее состояние,Частный продавец,2030753,89000,Roman Stud,,,
INT U,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Темно-синий,Длинный ремень,Да,Новое с биркой,Частный продавец,2032648,505000,Herbag,,Да,
INT U,Женское,Сумки тоут,ALEXANDER MCQUEEN,Кожа,Черный,Средние ручки,,Новое с биркой,Частный продавец,2025002,252390,,,,
INT L,Женское,Сумки с короткими ручками,GUCCI,Кожа,Черный,Короткие ручки,,Отличное состояние,Частный продавец,2031473,48900,,,,
INT U,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,,Отличное состояние,Частный продавец,2032570,1360000,Birkin,,,
INT U,Женское,Сумки через плечо,ALEXANDER MCQUEEN,Кожа,Бордовый,Средние ручки,,Новое с биркой,Частный продавец,2025004,181720,,,,
INT U,Женское,Поясные сумки,BURBERRY,Синтетика,Черный,Средние ручки,,Новое с биркой,Частный продавец,2025292,196860,,,,
INT M,Женское,Сумки с короткими ручками,ETRO,Искусственная кожа,Коричневый,Средние ручки,,Хорошее состояние,Частный продавец,2030773,24000,,,,
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Средние ручки,,Новое с биркой,Частный продавец,2032668,525000,Herbag,,,
INT U,Женское,Сумки тоут,MARNI,Другое,Бежевый,Средние ручки,,Новое с биркой,Частный продавец,2025295,79500,,,,
INT L,Женское,Пляжные сумки,JACQUEMUS,Плетение,Бежевый,Длинный ремень,,Новое с биркой,Частный продавец,2014624,62000,Le Panier Soli,,,
INT S,Женское,Сумки через плечо,MAX&CO,Искусственная кожа,Мульти,Длинный ремень,Да,Отличное состояние,Частный продавец,2031486,10000,,,,
INT U,Женское,Сумки тоут,MARNI,Другое,Черный,Средние ручки,,Новое с биркой,Частный продавец,2025312,79500,,,,
INT S,Женское,Сумки с короткими ручками,MIU MIU,Кожа,Черный,Короткие ручки,,Новое с биркой,Частный продавец,2030792,333000,,,,
INT M,Женское,Сумки с короткими ручками,GUCCI,Кожа,Коричневый,Средние ручки,,Хорошее состояние,Частный продавец,2031576,39000,Abbey,Да,,
INT U,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Зеленый,Средние ручки,,Новое с биркой,Частный продавец,2026382,150000,,,,
INT U,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Коричневый,Средние ручки,,Новое с биркой,Частный продавец,2026375,150000,,,,
INT S,Женское,Сумки через плечо,PRADA,Другое,Черный,Короткие ручки,Да,Отличное состояние,Частный продавец,2033835,55000,Re-Edition 2005,,,
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,Да,Новое с биркой,Частный продавец,2032869,1120000,Jypsiere,,Да,Да
INT U,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Зеленый,Длинный ремень,,Новое с биркой,Частный продавец,2026354,230714,,,,
INT S,Женское,Сумки через плечо,LOUIS FERAUD,Кожа,Мульти,Средние ручки,Да,Отличное состояние,Частный продавец,1950267,14500,,,,
INT M,Женское,Сумки с короткими ручками,LONGCHAMP,Экзотическая кожа,Коричневый,Средние ручки,,Отличное состояние,Частный продавец,2030927,10000,,,,
INT U,Женское,Сумки через плечо,SAINT LAURENT,Другое,Черный,Средние ручки,,Новое с биркой,Частный продавец,2026312,146250,Le 5 a 7,,,
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Голубой,Средние ручки,,Отличное состояние,Частный продавец,2033058,271000,Kelly,,,
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Темно-синий,Длинный ремень,,Отличное состояние,Частный продавец,2032294,195340,Herbag,,,
INT U,Женское,Сумки через плечо,MIU MIU,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2025003,191810,,,,
INT U,Женское,Сумки с короткими ручками,BURBERRY,Синтетика,Мульти,Короткие ручки,,Новое с биркой,Частный продавец,2025015,186770,,,,
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Розовый,Короткие ручки,,Отличное состояние,Частный продавец,2032334,1120000,Kelly,,,
INT S,Женское,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,Да,Хорошее состояние,Частный продавец,2031008,55000,Glam Lock,,,
INT U,Женское,Сумки с короткими ручками,ALEXANDER MCQUEEN,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2025034,181720,,,,
INT U,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Черный,Средние ручки,,Отличное состояние,Частный продавец,2032538,723810,Kelly,,,
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Темно-синий,Длинный ремень,,Отличное состояние,Частный продавец,2033176,246340,Herbag,,,
INT U,Женское,Сумки тоут,MARNI,Кожа,Другое,Длинный ремень,,Новое с биркой,Частный продавец,2024953,181210,,,,
INT M,Женское,Сумки с короткими ручками,JACQUEMUS,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2031879,75000,Le Chiquito,,,
INT S,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Другое,Длинный ремень,,Хорошее состояние,Частный продавец,2031146,150000,,,,
INT U,Женское,Сумки тоут,LONGCHAMP,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2024815,39417,,,,
INT U,Женское,Сумки через плечо,LONGCHAMP,Другое,Мульти,Длинный ремень,,Новое с биркой,Частный продавец,2024835,32967,,,,
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Короткие ручки,Да,Новое с биркой,Частный продавец,2032485,436000,Herbag,,Да,Да
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Длинный ремень,Да,Новое с биркой,Частный продавец,2033727,501000,Herbag,,Да,Да
INT U,Женское,Сумки тоут,BALENCIAGA,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2025039,231190,,,,
INT U,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Белый,Средние ручки,,Отличное состояние,Частный продавец,2032552,653000,Kelly,,,
INT XS,Женское,Сумки тоут,AGNONA,Кожа,Синий,Средние ручки,Да,Новое с биркой,Частный продавец,481043,80000,,,,
INT U,Женское,Сумки с короткими ручками,BURBERRY,Синтетика,Мульти,Короткие ручки,,Новое с биркой,Частный продавец,2025357,150420,,,,
INT U,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Красный,Средние ручки,,Отличное состояние,Частный продавец,2032582,1270000,Birkin,,,
INT M,Женское,Сумки с короткими ручками,EMPORIO ARMANI,Другое,Мульти,Короткие ручки,Да,Отличное состояние,Частный продавец,2031242,45000,,,,
INT U,Женское,Сумки с короткими ручками,ALEXANDER MCQUEEN,Кожа,Коричневый,Длинный ремень,,Новое с биркой,Частный продавец,2024979,150420,,,,
INT U,Женское,Сумки с короткими ручками,ALEXANDER MCQUEEN,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2025020,150420,,,,
INT XS,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Желтый,Средние ручки,,Хорошее состояние,Частный продавец,2033036,680000,Birkin,,,
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,Да,Отличное состояние,Частный продавец,2033747,1570000,Kelly,,Да,
INT L,Женское,Сумки с короткими ручками,MICHAEL KORS,Другое,Коричневый,Средние ручки,Да,Новое с биркой,Бутик,2024586,20390,,,,
INT XS,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Экзотическая кожа,Серый,Длинный ремень,Да,Отличное состояние,Частный продавец,2033755,5590000,Kelly,,Да,Да
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Черный,Короткие ручки,Да,Новое с биркой,Частный продавец,2030929,280000,,,Да,Да
INT S,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,Да,Новое с биркой,Частный продавец,2033899,220000,C Bag,,Да,Да
INT XS,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Серебряный,Средние ручки,,Хорошее состояние,Частный продавец,1912850,81200,,,,
INT XS,Женское,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Короткие ручки,,Отличное состояние,Частный продавец,1784171,81200,Baguette,Да,,
INT L,Женское,Сумки тоут,COACH,Искусственная кожа,Бежевый,Средние ручки,,Новое с биркой,Частный продавец,1982447,32000,,,,
INT M,Женское,Сумки через плечо,GUCCI,Кожа,Черный,Длинный ремень,Да,Отличное состояние,Частный продавец,1994816,150000,,,Да,
INT M,Женское,Сумки с короткими ручками,FENDI,Мех,Коричневый,Средние ручки,,Хорошее состояние,Частный продавец,1987441,67690,,Да,,
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Короткие ручки,,Хорошее состояние,Частный продавец,1987952,171480,Speedy,,,
INT M,Женское,Сумки с короткими ручками,FENDI,Мех,Коричневый,Средние ручки,,Отличное состояние,Частный продавец,963808,103750,,Да,,
INT L,Женское,Сумки тоут,GUCCI,Кожа,Черный,Средние ручки,,Хорошее состояние,Частный продавец,1246006,54150,,Да,,
INT S,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Темно-синий,Длинный ремень,,Хорошее состояние,Частный продавец,1494342,67690,,,,
INT M,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Оранжевый,Средние ручки,,Хорошее состояние,Частный продавец,2022359,103750,Hobo,,,
INT XS,Женское,Клатчи и вечерние сумки,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,,Отличное состояние,Частный продавец,1969261,33000,,,,
INT M,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,Да,Новое с биркой,Частный продавец,1964578,161000,,,,
INT M,Женское,Сумки с короткими ручками,CHLOE,Кожа,Бежевый,Средние ручки,Да,Отличное состояние,Частный продавец,1537962,101000,Kiss,,,
INT XS,Женское,Сумки с короткими ручками,WANDLER,Кожа,Красный,Длинный ремень,Да,Отличное состояние,Частный продавец,817708,36000,,,Да,
INT S,Женское,Сумки тоут,DOLCE&GABBANA,Кожа,Красный,Длинный ремень,,Отличное состояние,Частный продавец,318052,25000,,,,
INT M,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Длинный ремень,,Хорошее состояние,Частный продавец,1670733,144000,Diorama,,,
INT XS,Женское,Сумки через плечо,YUZEFI,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,1527403,36900,,,,
INT XS,Женское,Сумки с короткими ручками,COACH,Кожа,Бежевый,Средние ручки,Да,Отличное состояние,Частный продавец,1954288,27000,Tabby,,,Да
INT S,Женское,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,,Хорошее состояние,Частный продавец,1961556,50000,,,,
INT M,Женское,Сумки с короткими ручками,JIL SANDER,Кожа,Зеленый,Средние ручки,,Хорошее состояние,Частный продавец,1829591,17000,,,,
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Черный,Короткие ручки,,Хорошее состояние,Частный продавец,1968896,45000,Alma,Да,,
INT L,Женское,Сумки с короткими ручками,LOEWE,Кожа,Серебряный,Короткие ручки,,Отличное состояние,Частный продавец,1951157,12000,,,,
INT M,Женское,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Белый,Средние ручки,,Хорошее состояние,Частный продавец,2014620,47000,,Да,,
INT S,Женское,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,,Хорошее состояние,Частный продавец,849850,23000,Glam Lock,,,
INT S,Женское,Сумки тоут,CHRISTIAN DIOR PRE-OWNED,Ткань,Мульти,Короткие ручки,,Новое с биркой,Частный продавец,580482,185000,,,,
INT M,Женское,Сумки через плечо,ULYANA SERGEENKO,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,1395405,90000,,,,
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,1980254,200000,,,,
INT U,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Красный,Длинный ремень,,Новое с биркой,Частный продавец,2030983,323050,Triomphe,,,
INT U,Женское,Сумки через плечо,CELINE PRE-OWNED,Другое,Бежевый,Длинный ремень,,Новое с биркой,Частный продавец,2030982,302860,Triomphe,,,
INT U,Женское,Сумки с короткими ручками,BVLGARI,Экзотическая кожа,Серый,Средние ручки,,Отличное состояние,Частный продавец,1831242,178800,,,,
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Коричневый,Короткие ручки,,Отличное состояние,Частный продавец,1754744,121450,,,,
INT XS,Женское,Сумки с короткими ручками,VALENTINO,Кожа,Розовый,Короткие ручки,,Отличное состояние,Частный продавец,1778945,115000,,,,
INT S,Женское,Клатчи и вечерние сумки,J.W.ANDERSON,Кожа,Черный,Короткие ручки,,Отличное состояние,Частный продавец,1851237,40000,,,,
INT U,Женское,Клатчи и вечерние сумки,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,,Новое с биркой,Частный продавец,2027186,181720,,,,
INT U,Женское,Сумки тоут,SPORTY AND RICH,Хлопок,Бежевый,Средние ручки,,Новое с биркой,Частный продавец,2020436,9548,,,,
INT XS,Женское,Сумки с короткими ручками,GUCCI,Кожа,Черный,Короткие ручки,Да,Отличное состояние,Частный продавец,2021631,120000,Aphrodite,,,Да
INT M,Женское,Сумки через плечо,JACQUEMUS,Кожа,Коричневый,Длинный ремень,,Отличное состояние,Частный продавец,2033881,62000,Le Bambino,,,
INT M,Женское,Сумки тоут,MICHAEL MICHAEL KORS,Другое,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2034004,21900,,,,
INT M,Женское,Сумки тоут,SAINT LAURENT,Хлопок,Черный,Средние ручки,,Новое с биркой,Частный продавец,2034148,24500,,,,
INT U,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Коричневый,Длинный ремень,,Новое с биркой,Частный продавец,2032941,252390,Jamie,,,
INT S,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,2025715,100000,BV,,,
INT M,Женское,Сумки с короткими ручками,SAINT LAURENT,Другое,Бежевый,Средние ручки,,Новое с биркой,Частный продавец,1954046,155000,Le 5 a 7,,,
INT M,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Серый,Средние ручки,,Новое с биркой,Частный продавец,1916015,183000,Le 5 a 7,,,
INT S,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Короткие ручки,,Новое с биркой,Частный продавец,1915970,155000,Le 5 a 7,,,
INT U,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2030976,262480,Loulou,,,
INT M,Женское,Сумки тоут,BURBERRY,Кожа,Бежевый,Короткие ручки,,Хорошее состояние,Частный продавец,1748978,75000,,Да,,
INT U,Женское,Клатчи и вечерние сумки,FENDI,Кожа,Черный,Длинный ремень,Да,Новое с биркой,Частный продавец,2024026,422900,First,,,Да
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Другое,Длинный ремень,,Отличное состояние,Частный продавец,1644269,80000,,,,
INT S,Женское,Рюкзаки,GUCCI,Кожа,Черный,Средние ручки,,Отличное состояние,Частный продавец,1522241,110000,GG Marmont,,,
INT U,Женское,Сумки тоут,TORY BURCH,Другое,Зеленый,Средние ручки,,Новое с биркой,Частный продавец,2009338,52440,,,,
INT S,Женское,Рюкзаки,GUCCI,Кожа,Красный,Средние ручки,Да,Отличное состояние,Частный продавец,1522229,110000,GG Marmont,,,
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Другое,Средние ручки,,Хорошее состояние,Частный продавец,1708035,65000,,,,
INT U,Женское,Сумки с короткими ручками,TORY BURCH,Кожа,Бежевый,Длинный ремень,,Новое с биркой,Частный продавец,2009359,85600,,,,
INT U,Женское,Сумки через плечо,TORY BURCH,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2009337,48910,,,,
INT M,Женское,Сумки тоут,GUCCI,Экзотическая кожа,Другое,Средние ручки,,Отличное состояние,Частный продавец,1784959,65000,,Да,,
INT S,Женское,Сумки через плечо,GUCCI,Кожа,Розовый,Длинный ремень,,Отличное состояние,Частный продавец,1966894,75000,GG Marmont,,,
INT U,Женское,Сумки через плечо,TORY BURCH,Кожа,Синий,Длинный ремень,,Новое с биркой,Частный продавец,2008534,48910,,,,
