Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT M,Сумки через плечо,JACQUEMUS,Замша,Бежевый,Средние ручки,1,Новое с биркой,57000,Ordinary,0,0,0
INT M,Сумки через плечо,GUCCI,Кожа,Черный,Средние ручки,1,Отличное состояние,170000,Ordinary,0,1,0
INT S,Сумки через плечо,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,1,Новое с биркой,230000,Ordinary,0,0,0
INT S,Сумки через плечо,JACQUEMUS,Замша,Бежевый,Средние ручки,1,Отличное состояние,42000,Ordinary,0,0,0
INT M,Сумки тоут,M2MALLETIER,Кожа,Черный,Короткие ручки,0,Хорошее состояние,13500,Ordinary,0,0,0
INT M,Сумки через плечо,OFF-WHITE,Кожа,Черный,Длинный ремень,0,Новое с биркой,180000,Ordinary,0,0,0
INT S,Клатчи и вечерние сумки,JIL SANDER,Кожа,Зеленый,Длинный ремень,0,Отличное состояние,75000,Ordinary,0,0,0
INT S,Сумки через плечо,JACQUEMUS,Кожа,Розовый,Средние ручки,1,Новое с биркой,73000,Ordinary,0,0,0
INT L,Сумки с короткими ручками,DKNY,Ткань,Бежевый,Короткие ручки,0,Отличное состояние,13000,Ordinary,1,0,0
INT M,Рюкзаки,PRADA,Другое,Другое,Короткие ручки,0,Отличное состояние,55000,Ordinary,0,0,0
INT S,Сумки тоут,VERSACE,Кожа,Черный,Длинный ремень,0,Хорошее состояние,120000,Ordinary,0,0,0
INT S,Клатчи и вечерние сумки,JIMMY CHOO,Другое,Серебряный,Средние ручки,1,Отличное состояние,65550,Ordinary,0,1,0
INT M,Сумки тоут,FENDI,Кожа,Белый,Длинный ремень,0,Хорошее состояние,150000,Ordinary,0,0,0
INT M,Сумки тоут,MICHAEL MICHAEL KORS,Другое,Черный,Средние ручки,1,Новое с биркой,20800,Ordinary,0,0,1
INT M,Сумки тоут,BALMAIN,Кожа,Коричневый,Длинный ремень,0,Отличное состояние,150000,Ordinary,0,0,0
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,1,Новое с биркой,750000,Ordinary,0,1,0
INT M,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Ткань,Бежевый,Длинный ремень,0,Отличное состояние,400000,Lady,0,0,0
INT M,Сумки тоут,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,1,Новое с биркой,515000,Ordinary,0,1,0
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Лакированная кожа,Бордовый,Короткие ручки,0,Отличное состояние,65000,Alma,0,0,0
INT M,Сумки с короткими ручками,VALENTINO,Кожа,Желтый,Короткие ручки,0,Хорошее состояние,89000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Темно-синий,Длинный ремень,1,Новое с биркой,505000,Ordinary,0,1,0
INT L,Сумки с короткими ручками,GUCCI,Кожа,Черный,Короткие ручки,0,Отличное состояние,48900,Ordinary,0,0,0
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,1360000,Birkin,0,0,0
INT M,Сумки с короткими ручками,ETRO,Искусственная кожа,Коричневый,Средние ручки,0,Хорошее состояние,24000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Средние ручки,0,Новое с биркой,525000,Ordinary,0,0,0
INT L,Пляжные сумки,JACQUEMUS,Плетение,Бежевый,Длинный ремень,0,Новое с биркой,62000,Ordinary,0,0,0
INT S,Сумки через плечо,MAX&CO,Искусственная кожа,Мульти,Длинный ремень,1,Отличное состояние,10000,Ordinary,0,0,0
INT S,Сумки с короткими ручками,MIU MIU,Кожа,Черный,Короткие ручки,0,Новое с биркой,333000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,GUCCI,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,39000,Ordinary,1,0,0
INT S,Сумки через плечо,PRADA,Другое,Черный,Короткие ручки,1,Отличное состояние,55000,Ordinary,0,0,0
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,1,Новое с биркой,1120000,Jypsiere,0,1,1
INT S,Сумки через плечо,LOUIS FERAUD,Кожа,Мульти,Средние ручки,1,Отличное состояние,14500,Ordinary,0,0,0
INT M,Сумки с короткими ручками,LONGCHAMP,Экзотическая кожа,Коричневый,Средние ручки,0,Отличное состояние,10000,Ordinary,0,0,0
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Голубой,Средние ручки,0,Отличное состояние,271000,Kelly,0,0,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Темно-синий,Длинный ремень,0,Отличное состояние,195340,Ordinary,0,0,0
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Розовый,Короткие ручки,0,Отличное состояние,1120000,Kelly,0,0,0
INT S,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,1,Хорошее состояние,55000,Ordinary,0,0,0
INT U,Сумки через плечо,HERMES PRE-OWNED,Кожа,Черный,Средние ручки,0,Отличное состояние,723810,Kelly,0,0,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Темно-синий,Длинный ремень,0,Отличное состояние,246340,Ordinary,0,0,0
INT M,Сумки с короткими ручками,JACQUEMUS,Кожа,Черный,Длинный ремень,0,Новое с биркой,75000,Ordinary,0,0,0
INT S,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Другое,Длинный ремень,0,Хорошее состояние,150000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Короткие ручки,1,Новое с биркой,436000,Ordinary,0,1,1
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Длинный ремень,1,Новое с биркой,501000,Ordinary,0,1,1
INT U,Сумки через плечо,HERMES PRE-OWNED,Кожа,Белый,Средние ручки,0,Отличное состояние,653000,Kelly,0,0,0
INT XS,Сумки тоут,AGNONA,Кожа,Синий,Средние ручки,1,Новое с биркой,80000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Красный,Средние ручки,0,Отличное состояние,1270000,Birkin,0,0,0
INT M,Сумки с короткими ручками,EMPORIO ARMANI,Другое,Мульти,Короткие ручки,1,Отличное состояние,45000,Ordinary,0,0,0
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Желтый,Средние ручки,0,Хорошее состояние,680000,Birkin,0,0,0
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,1,Отличное состояние,1570000,Kelly,0,1,0
INT XS,Сумки с короткими ручками,HERMES PRE-OWNED,Экзотическая кожа,Серый,Длинный ремень,1,Отличное состояние,5590000,Kelly,0,1,1
INT S,Сумки через плечо,OFF-WHITE,Кожа,Черный,Длинный ремень,1,Отличное состояние,67000,Ordinary,0,0,0
INT M,Сумки тоут,CHRISTIAN DIOR PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,40000,Ordinary,0,0,0
INT U,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,800000,Birkin,0,0,0
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,2200000,Kelly,0,0,0
INT M,Сумки через плечо,VALENTINO,Кожа,Розовый,Длинный ремень,0,Хорошее состояние,38900,Ordinary,0,0,0
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Темно-синий,Длинный ремень,1,Новое с биркой,330000,Ordinary,0,1,1
INT XS,Поясные сумки,HERMES PRE-OWNED,Кожа,Бежевый,Короткие ручки,1,Новое с биркой,327000,Ordinary,0,1,0
INT S,Сумки через плечо,SAINT LAURENT,Кожа,Бежевый,Длинный ремень,0,Хорошее состояние,157000,Loulou,0,0,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Белый,Короткие ручки,1,Отличное состояние,1500000,Kelly,1,0,0
INT L,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Другое,Мульти,Короткие ручки,0,Отличное состояние,260000,Book,0,0,0
INT XS,Сумки через плечо,HERMES PRE-OWNED,Лакированная кожа,Коричневый,Средние ручки,1,Новое с биркой,740000,Kelly,0,1,0
INT M,Сумки с короткими ручками,GUCCI,Кожа,Черный,Средние ручки,1,Отличное состояние,60000,Ordinary,1,0,0
INT S,Сумки через плечо,BALMAIN,Кожа,Бордовый,Длинный ремень,0,Хорошее состояние,103000,Ordinary,0,0,0
INT S,Сумки через плечо,HERMES PRE-OWNED,Шерсть,Темно-синий,Длинный ремень,1,Новое с биркой,295000,Ordinary,0,1,0
INT S,Сумки через плечо,FURLA,Другое,Черный,Длинный ремень,0,Новое с биркой,18000,Ordinary,0,0,0
INT S,Сумки через плечо,GUCCI,Кожа,Красный,Длинный ремень,1,Отличное состояние,50000,Ordinary,0,0,0
INT S,Сумки через плечо,GUCCI,Кожа,Бирюзовый,Длинный ремень,0,Хорошее состояние,65000,Ordinary,0,0,0
INT S,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Длинный ремень,0,Хорошее состояние,65000,Ordinary,0,0,0
INT M,Сумки тоут,CHANEL PRE-OWNED,Кожа,Черный,Средние ручки,0,Хорошее состояние,95000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,GUCCI,Кожа,Черный,Короткие ручки,0,Хорошее состояние,100000,Ordinary,0,0,0
INT M,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Длинный ремень,1,Отличное состояние,110000,Ordinary,0,0,0
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Белый,Средние ручки,0,Хорошее состояние,65000,Ordinary,0,0,0
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,0,Отличное состояние,125000,Ordinary,0,0,0
INT S,Сумки через плечо,GUCCI,Кожа,Красный,Длинный ремень,0,Отличное состояние,75000,Ordinary,0,0,0
INT M,Рюкзаки,LOUIS VUITTON PRE-OWNED,Другое,Белый,Средние ручки,1,Хорошее состояние,110000,Ordinary,0,0,0
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Средние ручки,1,Отличное состояние,110000,Ordinary,0,0,0
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Другое,Длинный ремень,0,Отличное состояние,80000,Ordinary,0,0,0
INT S,Рюкзаки,GUCCI,Кожа,Черный,Средние ручки,0,Отличное состояние,110000,Ordinary,0,0,0
INT S,Рюкзаки,GUCCI,Кожа,Красный,Средние ручки,1,Отличное состояние,110000,Ordinary,0,0,0
INT M,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Другое,Средние ручки,0,Хорошее состояние,65000,Ordinary,0,0,0
INT M,Сумки тоут,GUCCI,Экзотическая кожа,Другое,Средние ручки,0,Отличное состояние,65000,Ordinary,1,0,0
INT U,Сумки тоут,JORDAN,Ткань,Розовый,Средние ручки,0,Новое с биркой,12000,Ordinary,0,0,0
INT U,Сумки тоут,JORDAN,Ткань,Антрацит,Средние ручки,0,Новое с биркой,12000,Ordinary,0,0,0
INT S,Сумки через плечо,CELINE PRE-OWNED,Кожа,Оранжевый,Средние ручки,0,Хорошее состояние,46000,Ordinary,0,0,0
INT L,Сумки через плечо,JIL SANDER,Кожа,Хаки,Длинный ремень,0,Отличное состояние,98000,Ordinary,0,0,0
INT U,Сумки тоут,SALVATORE FERRAGAMO,Кожа,Черный,Длинный ремень,0,Новое с биркой,151560,Ordinary,0,0,0
INT M,Сумки тоут,DOLCE&GABBANA,Кожа,Черный,Длинный ремень,0,Хорошее состояние,68000,Ordinary,0,0,0
INT XS,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Другое,Длинный ремень,0,Хорошее состояние,250000,Ordinary,0,0,0
INT U,Сумки тоут,SAINT LAURENT,Кожа,Черный,Средние ручки,0,Новое с биркой,186800,Ordinary,0,0,0
INT S,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Жаккард,Темно-синий,Длинный ремень,1,Отличное состояние,155000,30 Montaigne,0,1,0
INT U,Клатчи и вечерние сумки,CHARLOTTE OLYMPIA,Другое,Бирюзовый,Короткие ручки,0,Новое с биркой,37000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,FENDI,Кожа,Черный,Короткие ручки,1,Новое с биркой,234900,Ordinary,0,0,1
INT U,Сумки с короткими ручками,FENDI,Ткань,Коричневый,Короткие ручки,1,Новое с биркой,234900,Ordinary,0,0,1
INT S,Клатчи и вечерние сумки,ELISABETTA FRANCHI,Искусственная кожа,Бежевый,Короткие ручки,1,Отличное состояние,14000,Ordinary,0,0,0
INT M,Сумки через плечо,JACQUEMUS,Замша,Бежевый,Средние ручки,1,Новое с биркой,57000,Ordinary,0,0,0
INT U,Сумки через плечо,EMPORIO ARMANI,Кожа,Черный,Средние ручки,0,Новое с биркой,61900,Ordinary,0,0,0
INT M,Сумки через плечо,GUCCI,Кожа,Черный,Средние ручки,1,Отличное состояние,170000,Ordinary,0,1,0
INT S,Сумки через плечо,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,1,Новое с биркой,230000,Ordinary,0,0,0
INT U,Сумки через плечо,EMPORIO ARMANI,Другое,Черный,Средние ручки,0,Новое с биркой,64900,Ordinary,0,0,0
INT S,Сумки через плечо,JACQUEMUS,Замша,Бежевый,Средние ручки,1,Отличное состояние,42000,Ordinary,0,0,0
INT M,Сумки тоут,M2MALLETIER,Кожа,Черный,Короткие ручки,0,Хорошее состояние,13500,Ordinary,0,0,0
INT U,Сумки тоут,EMPORIO ARMANI,Другое,Бежевый,Средние ручки,0,Новое с биркой,67900,Ordinary,0,0,0
INT U,Сумки тоут,EMPORIO ARMANI,Кожа,Бежевый,Средние ручки,0,Новое с биркой,63900,Ordinary,0,0,0
INT M,Сумки через плечо,OFF-WHITE,Кожа,Черный,Длинный ремень,0,Новое с биркой,180000,Ordinary,0,0,0
INT S,Клатчи и вечерние сумки,JIL SANDER,Кожа,Зеленый,Длинный ремень,0,Отличное состояние,75000,Ordinary,0,0,0
INT M,Рюкзаки,COACH,Искусственная кожа,Черный,Средние ручки,0,Новое с биркой,29820,Ordinary,0,0,0
INT S,Сумки через плечо,JACQUEMUS,Кожа,Розовый,Средние ручки,1,Новое с биркой,73000,Ordinary,0,0,0
INT L,Сумки с короткими ручками,DKNY,Ткань,Бежевый,Короткие ручки,0,Отличное состояние,13000,Ordinary,1,0,0
INT U,Сумки с короткими ручками,FENDI,Кожа,Белый,Средние ручки,1,Новое с биркой,359900,Ordinary,0,0,1
INT M,Рюкзаки,PRADA,Другое,Другое,Короткие ручки,0,Отличное состояние,55000,Ordinary,0,0,0
INT S,Сумки тоут,VERSACE,Кожа,Черный,Длинный ремень,0,Хорошее состояние,120000,Ordinary,0,0,0
INT U,Клатчи и вечерние сумки,FENDI,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,103990,Ordinary,0,0,1
INT U,Сумки через плечо,NEOUS,Кожа,Черный,Средние ручки,0,Новое с биркой,60000,Ordinary,0,0,0
INT S,Клатчи и вечерние сумки,JIMMY CHOO,Другое,Серебряный,Средние ручки,1,Отличное состояние,65550,Ordinary,0,1,0
INT M,Сумки тоут,FENDI,Кожа,Белый,Длинный ремень,0,Хорошее состояние,150000,Ordinary,0,0,0
INT U,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,0,Новое с биркой,296471,Pochette Metis,0,0,0
INT M,Сумки тоут,MICHAEL MICHAEL KORS,Другое,Черный,Средние ручки,1,Новое с биркой,20800,Ordinary,0,0,1
INT M,Сумки тоут,BALMAIN,Кожа,Коричневый,Длинный ремень,0,Отличное состояние,150000,Ordinary,0,0,0
INT U,Клатчи и вечерние сумки,SAINT LAURENT,Кожа,Бежевый,Длинный ремень,0,Новое с биркой,189900,Ordinary,0,0,0
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,1,Новое с биркой,750000,Ordinary,0,1,0
INT M,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Ткань,Бежевый,Длинный ремень,0,Отличное состояние,400000,Lady,0,0,0
INT U,Сумки через плечо,CELINE PRE-OWNED,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,482900,Ordinary,0,0,1
INT U,Сумки тоут,BURBERRY,Хлопок,Мульти,Средние ручки,0,Новое с биркой,136740,Ordinary,0,0,0
INT M,Сумки тоут,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,1,Новое с биркой,515000,Ordinary,0,1,0
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Лакированная кожа,Бордовый,Короткие ручки,0,Отличное состояние,65000,Alma,0,0,0
INT U,Сумки через плечо,BURBERRY,Другое,Зеленый,Средние ручки,0,Новое с биркой,186770,Ordinary,0,0,0
INT M,Сумки с короткими ручками,VALENTINO,Кожа,Желтый,Короткие ручки,0,Хорошее состояние,89000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Темно-синий,Длинный ремень,1,Новое с биркой,505000,Ordinary,0,1,0
INT U,Сумки тоут,ALEXANDER MCQUEEN,Кожа,Черный,Средние ручки,0,Новое с биркой,252390,Ordinary,0,0,0
INT L,Сумки с короткими ручками,GUCCI,Кожа,Черный,Короткие ручки,0,Отличное состояние,48900,Ordinary,0,0,0
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,1360000,Birkin,0,0,0
INT U,Сумки через плечо,ALEXANDER MCQUEEN,Кожа,Бордовый,Средние ручки,0,Новое с биркой,181720,Ordinary,0,0,0
INT U,Поясные сумки,BURBERRY,Синтетика,Черный,Средние ручки,0,Новое с биркой,196860,Ordinary,0,0,0
INT M,Сумки с короткими ручками,ETRO,Искусственная кожа,Коричневый,Средние ручки,0,Хорошее состояние,24000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Средние ручки,0,Новое с биркой,525000,Ordinary,0,0,0
INT U,Сумки тоут,MARNI,Другое,Бежевый,Средние ручки,0,Новое с биркой,79500,Ordinary,0,0,0
INT L,Пляжные сумки,JACQUEMUS,Плетение,Бежевый,Длинный ремень,0,Новое с биркой,62000,Ordinary,0,0,0
INT S,Сумки через плечо,MAX&CO,Искусственная кожа,Мульти,Длинный ремень,1,Отличное состояние,10000,Ordinary,0,0,0
INT U,Сумки тоут,MARNI,Другое,Черный,Средние ручки,0,Новое с биркой,79500,Ordinary,0,0,0
INT S,Сумки с короткими ручками,MIU MIU,Кожа,Черный,Короткие ручки,0,Новое с биркой,333000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,GUCCI,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,39000,Ordinary,1,0,0
INT U,Сумки через плечо,BOTTEGA VENETA,Кожа,Зеленый,Средние ручки,0,Новое с биркой,150000,Ordinary,0,0,0
INT U,Сумки через плечо,BOTTEGA VENETA,Кожа,Коричневый,Средние ручки,0,Новое с биркой,150000,Ordinary,0,0,0
INT S,Сумки через плечо,PRADA,Другое,Черный,Короткие ручки,1,Отличное состояние,55000,Ordinary,0,0,0
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,1,Новое с биркой,1120000,Jypsiere,0,1,1
INT U,Сумки через плечо,BOTTEGA VENETA,Кожа,Зеленый,Длинный ремень,0,Новое с биркой,230714,Ordinary,0,0,0
INT S,Сумки через плечо,LOUIS FERAUD,Кожа,Мульти,Средние ручки,1,Отличное состояние,14500,Ordinary,0,0,0
INT M,Сумки с короткими ручками,LONGCHAMP,Экзотическая кожа,Коричневый,Средние ручки,0,Отличное состояние,10000,Ordinary,0,0,0
INT U,Сумки через плечо,SAINT LAURENT,Другое,Черный,Средние ручки,0,Новое с биркой,146250,Le 5 a 7,0,0,0
INT S,Сумки через плечо,HERMES PRE-OWNED,Кожа,Голубой,Средние ручки,0,Отличное состояние,271000,Kelly,0,0,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Темно-синий,Длинный ремень,0,Отличное состояние,195340,Ordinary,0,0,0
INT U,Сумки через плечо,MIU MIU,Кожа,Черный,Длинный ремень,0,Новое с биркой,191810,Ordinary,0,0,0
INT U,Сумки с короткими ручками,BURBERRY,Синтетика,Мульти,Короткие ручки,0,Новое с биркой,186770,Ordinary,0,0,0
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Розовый,Короткие ручки,0,Отличное состояние,1120000,Kelly,0,0,0
INT S,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,1,Хорошее состояние,55000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,ALEXANDER MCQUEEN,Кожа,Черный,Длинный ремень,0,Новое с биркой,181720,Ordinary,0,0,0
INT U,Сумки через плечо,HERMES PRE-OWNED,Кожа,Черный,Средние ручки,0,Отличное состояние,723810,Kelly,0,0,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Темно-синий,Длинный ремень,0,Отличное состояние,246340,Ordinary,0,0,0
INT U,Сумки тоут,MARNI,Кожа,Другое,Длинный ремень,0,Новое с биркой,181210,Ordinary,0,0,0
INT M,Сумки с короткими ручками,JACQUEMUS,Кожа,Черный,Длинный ремень,0,Новое с биркой,75000,Ordinary,0,0,0
INT S,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Другое,Длинный ремень,0,Хорошее состояние,150000,Ordinary,0,0,0
INT U,Сумки тоут,LONGCHAMP,Кожа,Черный,Длинный ремень,0,Новое с биркой,39417,Ordinary,0,0,0
INT U,Сумки через плечо,LONGCHAMP,Другое,Мульти,Длинный ремень,0,Новое с биркой,32967,Ordinary,0,0,0
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Короткие ручки,1,Новое с биркой,436000,Ordinary,0,1,1
INT M,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Длинный ремень,1,Новое с биркой,501000,Ordinary,0,1,1
INT U,Сумки тоут,BALENCIAGA,Кожа,Черный,Длинный ремень,0,Новое с биркой,231190,Ordinary,0,0,0
INT U,Сумки через плечо,HERMES PRE-OWNED,Кожа,Белый,Средние ручки,0,Отличное состояние,653000,Kelly,0,0,0
INT XS,Сумки тоут,AGNONA,Кожа,Синий,Средние ручки,1,Новое с биркой,80000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,BURBERRY,Синтетика,Мульти,Короткие ручки,0,Новое с биркой,150420,Ordinary,0,0,0
INT U,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Красный,Средние ручки,0,Отличное состояние,1270000,Birkin,0,0,0
INT M,Сумки с короткими ручками,EMPORIO ARMANI,Другое,Мульти,Короткие ручки,1,Отличное состояние,45000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,ALEXANDER MCQUEEN,Кожа,Коричневый,Длинный ремень,0,Новое с биркой,150420,Ordinary,0,0,0
INT U,Сумки с короткими ручками,ALEXANDER MCQUEEN,Кожа,Черный,Длинный ремень,0,Новое с биркой,150420,Ordinary,0,0,0
INT XS,Сумки через плечо,HERMES PRE-OWNED,Кожа,Желтый,Средние ручки,0,Хорошее состояние,680000,Birkin,0,0,0
INT S,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,1,Отличное состояние,1570000,Kelly,0,1,0
INT L,Сумки с короткими ручками,MICHAEL KORS,Другое,Коричневый,Средние ручки,1,Новое с биркой,20390,Ordinary,0,0,0
INT XS,Сумки с короткими ручками,HERMES PRE-OWNED,Экзотическая кожа,Серый,Длинный ремень,1,Отличное состояние,5590000,Kelly,0,1,1
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Черный,Короткие ручки,1,Новое с биркой,280000,Ordinary,0,1,1
INT S,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,1,Новое с биркой,220000,Ordinary,0,1,1
INT XS,Сумки через плечо,BOTTEGA VENETA,Кожа,Серебряный,Средние ручки,0,Хорошее состояние,81200,Ordinary,0,0,0
INT XS,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Короткие ручки,0,Отличное состояние,81200,Ordinary,1,0,0
INT L,Сумки тоут,COACH,Искусственная кожа,Бежевый,Средние ручки,0,Новое с биркой,32000,Ordinary,0,0,0
INT M,Сумки через плечо,GUCCI,Кожа,Черный,Длинный ремень,1,Отличное состояние,150000,Ordinary,0,1,0
INT M,Сумки с короткими ручками,FENDI,Мех,Коричневый,Средние ручки,0,Хорошее состояние,67690,Ordinary,1,0,0
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Короткие ручки,0,Хорошее состояние,171480,Speedy,0,0,0
INT M,Сумки с короткими ручками,FENDI,Мех,Коричневый,Средние ручки,0,Отличное состояние,103750,Ordinary,1,0,0
INT L,Сумки тоут,GUCCI,Кожа,Черный,Средние ручки,0,Хорошее состояние,54150,Ordinary,1,0,0
INT S,Сумки через плечо,BOTTEGA VENETA,Кожа,Темно-синий,Длинный ремень,0,Хорошее состояние,67690,Ordinary,0,0,0
INT M,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Оранжевый,Средние ручки,0,Хорошее состояние,103750,Ordinary,0,0,0
INT XS,Клатчи и вечерние сумки,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,0,Отличное состояние,33000,Ordinary,0,0,0
INT M,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,1,Новое с биркой,161000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,CHLOE,Кожа,Бежевый,Средние ручки,1,Отличное состояние,101000,Ordinary,0,0,0
INT XS,Сумки с короткими ручками,WANDLER,Кожа,Красный,Длинный ремень,1,Отличное состояние,36000,Ordinary,0,1,0
INT S,Сумки тоут,DOLCE&GABBANA,Кожа,Красный,Длинный ремень,0,Отличное состояние,25000,Ordinary,0,0,0
INT M,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Длинный ремень,0,Хорошее состояние,144000,Diorama,0,0,0
INT XS,Сумки через плечо,YUZEFI,Кожа,Черный,Длинный ремень,0,Новое с биркой,36900,Ordinary,0,0,0
INT XS,Сумки с короткими ручками,COACH,Кожа,Бежевый,Средние ручки,1,Отличное состояние,27000,Ordinary,0,0,1
INT S,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,0,Хорошее состояние,50000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,JIL SANDER,Кожа,Зеленый,Средние ручки,0,Хорошее состояние,17000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Черный,Короткие ручки,0,Хорошее состояние,45000,Alma,1,0,0
INT L,Сумки с короткими ручками,LOEWE,Кожа,Серебряный,Короткие ручки,0,Отличное состояние,12000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Белый,Средние ручки,0,Хорошее состояние,47000,Ordinary,1,0,0
INT S,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,0,Хорошее состояние,23000,Ordinary,0,0,0
INT S,Сумки тоут,CHRISTIAN DIOR PRE-OWNED,Ткань,Мульти,Короткие ручки,0,Новое с биркой,185000,Ordinary,0,0,0
INT M,Сумки через плечо,ULYANA SERGEENKO,Кожа,Черный,Длинный ремень,0,Отличное состояние,90000,Ordinary,0,0,0
