Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT L,Сумки с короткими ручками,VERSACE,Кожа,Черный,Средние ручки,0,Хорошее состояние,36000,Ordinary,0,0,0
INT S,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Бежевый,Длинный ремень,0,Хорошее состояние,166670,Ordinary,0,0,0
INT S,Сумки через плечо,MICHAEL KORS,Кожа,Другое,Длинный ремень,0,Новое с биркой,14900,Ordinary,0,0,0
INT S,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,1,Отличное состояние,230000,Ordinary,0,1,1
INT M,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Средние ручки,0,Хорошее состояние,77380,Ordinary,0,0,0
INT U,Клатчи и вечерние сумки,DIANE VON FURSTENBERG,Замша,Хаки,Короткие ручки,0,Отличное состояние,20000,Ordinary,0,0,0
INT M,Сумки через плечо,DIESEL,Деним,Синий,Длинный ремень,0,Новое с биркой,64000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Зеленый,Длинный ремень,0,Отличное состояние,95000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,0,Новое с биркой,198800,Ordinary,0,0,0
INT U,Рюкзаки,VERSACE JEANS COUTURE,Другое,Черный,Короткие ручки,0,Новое с биркой,25000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,0,Отличное состояние,135000,Ordinary,0,0,0
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Экзотическая кожа,Желтый,Средние ручки,0,Отличное состояние,104600,Ordinary,0,0,0
INT U,Сумки через плечо,PRADA,Кожа,Белый,Короткие ручки,0,Новое с биркой,429000,Ordinary,0,0,0
INT M,Сумки тоут,BOTTEGA VENETA,Экзотическая кожа,Черный,Средние ручки,0,Отличное состояние,152000,Ordinary,1,0,0
INT XL,Пляжные сумки,PRADA,Другое,Другое,Длинный ремень,0,Новое с биркой,175000,Ordinary,0,0,0
INT S,Сумки тоут,CHANEL PRE-OWNED,Кожа,Черный,Средние ручки,0,Хорошее состояние,145800,Ordinary,1,0,0
INT U,Сумки с короткими ручками,PINKO,Кожа,Черный,Короткие ручки,0,Новое с биркой,30000,Ordinary,0,0,0
INT XS,Сумки с короткими ручками,GUCCI,Кожа,Зеленый,Длинный ремень,0,Новое с биркой,800000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,PINKO,Кожа,Белый,Средние ручки,1,Новое с биркой,29900,Ordinary,0,1,1
INT U,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Другое,Красный,Длинный ремень,0,Новое с биркой,105890,Ordinary,0,0,0
INT S,Сумки с короткими ручками,CHANEL PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,155800,Ordinary,0,0,0
INT U,Сумки через плечо,BALENCIAGA,Кожа,Другое,Длинный ремень,0,Новое с биркой,105890,Ordinary,0,0,0
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Мульти,Короткие ручки,0,Отличное состояние,155800,Alma,0,0,0
INT S,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,1,Новое с биркой,83000,Ordinary,0,1,1
INT U,Рюкзаки,MARC JACOBS,Кожа,Черный,Короткие ручки,0,Хорошее состояние,45000,Ordinary,0,0,0
INT S,Сумки через плечо,PRADA,Кожа,Черный,Длинный ремень,0,Новое с биркой,295000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,SAINT LAURENT,Другое,Бежевый,Средние ручки,0,Новое с биркой,155000,Le 5 a 7,0,0,0
