Размер,Раздел,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Продавец,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT U,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Белый,Средние ручки,0,Отличное состояние,Частный продавец,653000,Kelly,0,0,0
INT XS,Женское,Сумки тоут,AGNONA,Кожа,Синий,Средние ручки,1,Новое с биркой,Частный продавец,80000,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Красный,Средние ручки,0,Отличное состояние,Частный продавец,1270000,Birkin,0,0,0
INT M,Женское,Сумки с короткими ручками,EMPORIO ARMANI,Другое,Мульти,Короткие ручки,1,Отличное состояние,Частный продавец,45000,Ordinary,0,0,0
INT XS,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Желтый,Средние ручки,0,Хорошее состояние,Частный продавец,680000,Birkin,0,0,0
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,1,Отличное состояние,Частный продавец,1570000,Kelly,0,1,0
INT XS,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Экзотическая кожа,Серый,Длинный ремень,1,Отличное состояние,Частный продавец,5590000,Kelly,0,1,1
INT S,Женское,Сумки через плечо,OFF-WHITE,Кожа,Черный,Длинный ремень,1,Отличное состояние,Частный продавец,67000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,CHRISTIAN DIOR PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Частный продавец,40000,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,Частный продавец,800000,Birkin,0,0,0
INT U,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Частный продавец,2200000,Kelly,0,0,0
INT M,Женское,Сумки через плечо,VALENTINO,Кожа,Розовый,Длинный ремень,0,Хорошее состояние,Частный продавец,38900,Glam Lock,0,0,0
INT XS,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Темно-синий,Длинный ремень,1,Новое с биркой,Частный продавец,330000,Evelyne,0,1,1
INT XS,Женское,Поясные сумки,HERMES PRE-OWNED,Кожа,Бежевый,Короткие ручки,1,Новое с биркой,Частный продавец,327000,Constance,0,1,0
INT S,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Бежевый,Длинный ремень,0,Хорошее состояние,Частный продавец,157000,Loulou,0,0,0
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Белый,Короткие ручки,1,Отличное состояние,Частный продавец,1500000,Kelly,1,0,0
INT L,Женское,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Другое,Мульти,Короткие ручки,0,Отличное состояние,Частный продавец,260000,Book,0,0,0
INT XS,Женское,Сумки через плечо,HERMES PRE-OWNED,Лакированная кожа,Коричневый,Средние ручки,1,Новое с биркой,Частный продавец,740000,Kelly,0,1,0
INT M,Женское,Сумки с короткими ручками,GUCCI,Кожа,Черный,Средние ручки,1,Отличное состояние,Частный продавец,60000,Bamboo,1,0,0
INT S,Женское,Сумки через плечо,BALMAIN,Кожа,Бордовый,Длинный ремень,0,Хорошее состояние,Частный продавец,103000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Шерсть,Темно-синий,Длинный ремень,1,Новое с биркой,Частный продавец,295000,Evelyne,0,1,0
INT S,Женское,Сумки через плечо,FURLA,Другое,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,18000,Ordinary,0,0,0
INT U,Женское,Аксессуары для сумок,CHRISTIAN DIOR PRE-OWNED,Ткань,Бордовый,Длинный ремень,0,Отличное состояние,Частный продавец,80000,Ordinary,0,0,0
INT U,Женское,Аксессуары для сумок,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Частный продавец,103000,Ordinary,0,0,0
INT U,Женское,Аксессуары для сумок,HERMES PRE-OWNED,Кожа,Черный,Средние ручки,1,Новое с биркой,Частный продавец,78000,Ordinary,0,1,0
INT S,Женское,Сумки через плечо,GUCCI,Кожа,Красный,Длинный ремень,1,Отличное состояние,Частный продавец,50000,Soho,0,0,0
INT S,Женское,Сумки через плечо,GUCCI,Кожа,Бирюзовый,Длинный ремень,0,Хорошее состояние,Частный продавец,65000,Emily,0,0,0
INT S,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Длинный ремень,0,Хорошее состояние,Частный продавец,65000,Favorite,0,0,0
INT M,Женское,Сумки тоут,CHANEL PRE-OWNED,Кожа,Черный,Средние ручки,0,Хорошее состояние,Частный продавец,95000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,GUCCI,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Частный продавец,100000,GG Marmont,0,0,0
INT M,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Длинный ремень,1,Отличное состояние,Частный продавец,110000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Белый,Средние ручки,0,Хорошее состояние,Частный продавец,65000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,0,Отличное состояние,Частный продавец,125000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,GUCCI,Кожа,Красный,Длинный ремень,0,Отличное состояние,Частный продавец,75000,GG Marmont,0,0,0
INT M,Женское,Рюкзаки,LOUIS VUITTON PRE-OWNED,Другое,Белый,Средние ручки,1,Хорошее состояние,Частный продавец,110000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Средние ручки,1,Отличное состояние,Частный продавец,110000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Другое,Длинный ремень,0,Отличное состояние,Частный продавец,80000,Ordinary,0,0,0
INT S,Женское,Рюкзаки,GUCCI,Кожа,Черный,Средние ручки,0,Отличное состояние,Частный продавец,110000,GG Marmont,0,0,0
INT S,Женское,Рюкзаки,GUCCI,Кожа,Красный,Средние ручки,1,Отличное состояние,Частный продавец,110000,GG Marmont,0,0,0
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Другое,Средние ручки,0,Хорошее состояние,Частный продавец,65000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,GUCCI,Экзотическая кожа,Другое,Средние ручки,0,Отличное состояние,Частный продавец,65000,Ordinary,1,0,0
INT U,Женское,Сумки тоут,JORDAN,Ткань,Розовый,Средние ручки,0,Новое с биркой,"Частный, есть возврат",12000,Ordinary,0,0,0
INT U,Женское,Сумки тоут,JORDAN,Ткань,Антрацит,Средние ручки,0,Новое с биркой,"Частный, есть возврат",12000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Оранжевый,Средние ручки,0,Хорошее состояние,Частный продавец,46000,Trapeze,0,0,0
INT L,Женское,Сумки через плечо,JIL SANDER,Кожа,Хаки,Длинный ремень,0,Отличное состояние,Частный продавец,98000,Ordinary,0,0,0
INT U,Женское,Сумки тоут,SALVATORE FERRAGAMO,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,151560,Ordinary,0,0,0
INT M,Женское,Сумки тоут,DOLCE&GABBANA,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Частный продавец,68000,Sicily,0,0,0
INT XS,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Другое,Длинный ремень,0,Хорошее состояние,Частный продавец,250000,Ordinary,0,0,0
INT U,Женское,Сумки тоут,SAINT LAURENT,Кожа,Черный,Средние ручки,0,Новое с биркой,Бутик,186800,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Жаккард,Темно-синий,Длинный ремень,1,Отличное состояние,Частный продавец,155000,30 Montaigne,0,1,0
INT U,Женское,Клатчи и вечерние сумки,CHARLOTTE OLYMPIA,Другое,Бирюзовый,Короткие ручки,0,Новое с биркой,Частный продавец,37000,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Черный,Короткие ручки,1,Новое с биркой,Частный продавец,234900,Ordinary,0,0,1
INT U,Женское,Сумки с короткими ручками,FENDI,Ткань,Коричневый,Короткие ручки,1,Новое с биркой,Частный продавец,234900,Ordinary,0,0,1
INT S,Женское,Клатчи и вечерние сумки,ELISABETTA FRANCHI,Искусственная кожа,Бежевый,Короткие ручки,1,Отличное состояние,Частный продавец,14000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,JACQUEMUS,Замша,Бежевый,Средние ручки,1,Новое с биркой,Частный продавец,57000,Le Bambino,0,0,0
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Кожа,Черный,Средние ручки,0,Новое с биркой,Бутик,61900,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,GUCCI,Кожа,Черный,Средние ручки,1,Отличное состояние,Частный продавец,170000,GG Marmont,0,1,0
INT S,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,1,Новое с биркой,Частный продавец,230000,Cassette,0,0,0
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Черный,Средние ручки,0,Новое с биркой,Бутик,64900,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,JACQUEMUS,Замша,Бежевый,Средние ручки,1,Отличное состояние,Частный продавец,42000,Le Bambino,0,0,0
INT M,Женское,Сумки тоут,M2MALLETIER,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Частный продавец,13500,Ordinary,0,0,0
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Другое,Бежевый,Средние ручки,0,Новое с биркой,Бутик,67900,Ordinary,0,0,0
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Кожа,Бежевый,Средние ручки,0,Новое с биркой,Бутик,63900,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,OFF-WHITE,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,180000,Ordinary,0,0,0
INT S,Женское,Клатчи и вечерние сумки,JIL SANDER,Кожа,Зеленый,Длинный ремень,0,Отличное состояние,Частный продавец,75000,Ordinary,0,0,0
INT M,Женское,Рюкзаки,COACH,Искусственная кожа,Черный,Средние ручки,0,Новое с биркой,Бутик,29820,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,JACQUEMUS,Кожа,Розовый,Средние ручки,1,Новое с биркой,Частный продавец,73000,Le Carinu,0,0,0
INT L,Женское,Сумки с короткими ручками,DKNY,Ткань,Бежевый,Короткие ручки,0,Отличное состояние,Частный продавец,13000,Ordinary,1,0,0
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Белый,Средние ручки,1,Новое с биркой,Частный продавец,359900,Ordinary,0,0,1
INT M,Женское,Рюкзаки,PRADA,Другое,Другое,Короткие ручки,0,Отличное состояние,Частный продавец,55000,Ordinary,0,0,0
INT S,Женское,Сумки тоут,VERSACE,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Частный продавец,120000,Medusa,0,0,0
INT U,Женское,Клатчи и вечерние сумки,FENDI,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Частный продавец,103990,Ordinary,0,0,1
INT U,Женское,Сумки через плечо,NEOUS,Кожа,Черный,Средние ручки,0,Новое с биркой,Частный продавец,60000,Ordinary,0,0,0
INT S,Женское,Клатчи и вечерние сумки,JIMMY CHOO,Другое,Серебряный,Средние ручки,1,Отличное состояние,Частный продавец,65550,Ordinary,0,1,0
INT M,Женское,Сумки тоут,FENDI,Кожа,Белый,Длинный ремень,0,Хорошее состояние,Частный продавец,150000,Baguette,0,0,0
INT U,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,296471,Pochette Metis,0,0,0
INT M,Женское,Сумки тоут,MICHAEL MICHAEL KORS,Другое,Черный,Средние ручки,1,Новое с биркой,Частный продавец,20800,Ordinary,0,0,1
INT M,Женское,Сумки тоут,BALMAIN,Кожа,Коричневый,Длинный ремень,0,Отличное состояние,Частный продавец,150000,B-Army,0,0,0
INT U,Женское,Клатчи и вечерние сумки,SAINT LAURENT,Кожа,Бежевый,Длинный ремень,0,Новое с биркой,Бутик,189900,Ordinary,0,0,0
INT XS,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,1,Новое с биркой,Частный продавец,750000,Constance,0,1,0
INT M,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Ткань,Бежевый,Длинный ремень,0,Отличное состояние,Частный продавец,400000,Lady,0,0,0
INT U,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Частный продавец,482900,Ordinary,0,0,1
INT U,Женское,Сумки тоут,BURBERRY,Хлопок,Мульти,Средние ручки,0,Новое с биркой,Частный продавец,136740,Ordinary,0,0,0
INT M,Женское,Сумки тоут,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,1,Новое с биркой,Частный продавец,515000,Garden Party,0,1,0
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Лакированная кожа,Бордовый,Короткие ручки,0,Отличное состояние,Частный продавец,65000,Alma,0,0,0
INT U,Женское,Сумки через плечо,BURBERRY,Другое,Зеленый,Средние ручки,0,Новое с биркой,Частный продавец,186770,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,VALENTINO,Кожа,Желтый,Короткие ручки,0,Хорошее состояние,Частный продавец,89000,Roman Stud,0,0,0
INT U,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Темно-синий,Длинный ремень,1,Новое с биркой,Частный продавец,505000,Herbag,0,1,0
INT U,Женское,Сумки тоут,ALEXANDER MCQUEEN,Кожа,Черный,Средние ручки,0,Новое с биркой,Частный продавец,252390,Ordinary,0,0,0
INT L,Женское,Сумки с короткими ручками,GUCCI,Кожа,Черный,Короткие ручки,0,Отличное состояние,Частный продавец,48900,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Частный продавец,1360000,Birkin,0,0,0
INT U,Женское,Сумки через плечо,ALEXANDER MCQUEEN,Кожа,Бордовый,Средние ручки,0,Новое с биркой,Частный продавец,181720,Ordinary,0,0,0
INT U,Женское,Поясные сумки,BURBERRY,Синтетика,Черный,Средние ручки,0,Новое с биркой,Частный продавец,196860,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,ETRO,Искусственная кожа,Коричневый,Средние ручки,0,Хорошее состояние,Частный продавец,24000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Средние ручки,0,Новое с биркой,Частный продавец,525000,Herbag,0,0,0
INT U,Женское,Сумки тоут,MARNI,Другое,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,79500,Ordinary,0,0,0
INT L,Женское,Пляжные сумки,JACQUEMUS,Плетение,Бежевый,Длинный ремень,0,Новое с биркой,Частный продавец,62000,Le Panier Soli,0,0,0
INT S,Женское,Сумки через плечо,MAX&CO,Искусственная кожа,Мульти,Длинный ремень,1,Отличное состояние,Частный продавец,10000,Ordinary,0,0,0
INT U,Женское,Сумки тоут,MARNI,Другое,Черный,Средние ручки,0,Новое с биркой,Частный продавец,79500,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,MIU MIU,Кожа,Черный,Короткие ручки,0,Новое с биркой,Частный продавец,333000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,GUCCI,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,Частный продавец,39000,Abbey,1,0,0
INT U,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Зеленый,Средние ручки,0,Новое с биркой,Частный продавец,150000,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Коричневый,Средние ручки,0,Новое с биркой,Частный продавец,150000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,PRADA,Другое,Черный,Короткие ручки,1,Отличное состояние,Частный продавец,55000,Re-Edition 2005,0,0,0
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Средние ручки,1,Новое с биркой,Частный продавец,1120000,Jypsiere,0,1,1
INT U,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Зеленый,Длинный ремень,0,Новое с биркой,Частный продавец,230714,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,LOUIS FERAUD,Кожа,Мульти,Средние ручки,1,Отличное состояние,Частный продавец,14500,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,LONGCHAMP,Экзотическая кожа,Коричневый,Средние ручки,0,Отличное состояние,Частный продавец,10000,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,SAINT LAURENT,Другое,Черный,Средние ручки,0,Новое с биркой,Частный продавец,146250,Le 5 a 7,0,0,0
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Голубой,Средние ручки,0,Отличное состояние,Частный продавец,271000,Kelly,0,0,0
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Ткань,Темно-синий,Длинный ремень,0,Отличное состояние,Частный продавец,195340,Herbag,0,0,0
INT U,Женское,Сумки через плечо,MIU MIU,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,191810,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,BURBERRY,Синтетика,Мульти,Короткие ручки,0,Новое с биркой,Частный продавец,186770,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Розовый,Короткие ручки,0,Отличное состояние,Частный продавец,1120000,Kelly,0,0,0
INT S,Женское,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,1,Хорошее состояние,Частный продавец,55000,Glam Lock,0,0,0
INT U,Женское,Сумки с короткими ручками,ALEXANDER MCQUEEN,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,181720,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Черный,Средние ручки,0,Отличное состояние,Частный продавец,723810,Kelly,0,0,0
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Темно-синий,Длинный ремень,0,Отличное состояние,Частный продавец,246340,Herbag,0,0,0
INT U,Женское,Сумки тоут,MARNI,Кожа,Другое,Длинный ремень,0,Новое с биркой,Частный продавец,181210,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,JACQUEMUS,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,75000,Le Chiquito,0,0,0
INT S,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Другое,Длинный ремень,0,Хорошее состояние,Частный продавец,150000,Ordinary,0,0,0
INT U,Женское,Сумки тоут,LONGCHAMP,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,39417,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,LONGCHAMP,Другое,Мульти,Длинный ремень,0,Новое с биркой,Частный продавец,32967,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Короткие ручки,1,Новое с биркой,Частный продавец,436000,Herbag,0,1,1
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Длинный ремень,1,Новое с биркой,Частный продавец,501000,Herbag,0,1,1
INT U,Женское,Сумки тоут,BALENCIAGA,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,231190,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Белый,Средние ручки,0,Отличное состояние,Частный продавец,653000,Kelly,0,0,0
INT XS,Женское,Сумки тоут,AGNONA,Кожа,Синий,Средние ручки,1,Новое с биркой,Частный продавец,80000,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,BURBERRY,Синтетика,Мульти,Короткие ручки,0,Новое с биркой,Частный продавец,150420,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Красный,Средние ручки,0,Отличное состояние,Частный продавец,1270000,Birkin,0,0,0
INT M,Женское,Сумки с короткими ручками,EMPORIO ARMANI,Другое,Мульти,Короткие ручки,1,Отличное состояние,Частный продавец,45000,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,ALEXANDER MCQUEEN,Кожа,Коричневый,Длинный ремень,0,Новое с биркой,Частный продавец,150420,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,ALEXANDER MCQUEEN,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,150420,Ordinary,0,0,0
INT XS,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Желтый,Средние ручки,0,Хорошее состояние,Частный продавец,680000,Birkin,0,0,0
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,1,Отличное состояние,Частный продавец,1570000,Kelly,0,1,0
INT L,Женское,Сумки с короткими ручками,MICHAEL KORS,Другое,Коричневый,Средние ручки,1,Новое с биркой,Бутик,20390,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Экзотическая кожа,Серый,Длинный ремень,1,Отличное состояние,Частный продавец,5590000,Kelly,0,1,1
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Черный,Короткие ручки,1,Новое с биркой,Частный продавец,280000,Ordinary,0,1,1
INT S,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,1,Новое с биркой,Частный продавец,220000,C Bag,0,1,1
INT XS,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Серебряный,Средние ручки,0,Хорошее состояние,Частный продавец,81200,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Короткие ручки,0,Отличное состояние,Частный продавец,81200,Baguette,1,0,0
INT L,Женское,Сумки тоут,COACH,Искусственная кожа,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,32000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,GUCCI,Кожа,Черный,Длинный ремень,1,Отличное состояние,Частный продавец,150000,Ordinary,0,1,0
INT M,Женское,Сумки с короткими ручками,FENDI,Мех,Коричневый,Средние ручки,0,Хорошее состояние,Частный продавец,67690,Ordinary,1,0,0
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Короткие ручки,0,Хорошее состояние,Частный продавец,171480,Speedy,0,0,0
INT M,Женское,Сумки с короткими ручками,FENDI,Мех,Коричневый,Средние ручки,0,Отличное состояние,Частный продавец,103750,Ordinary,1,0,0
INT L,Женское,Сумки тоут,GUCCI,Кожа,Черный,Средние ручки,0,Хорошее состояние,Частный продавец,54150,Ordinary,1,0,0
INT S,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Темно-синий,Длинный ремень,0,Хорошее состояние,Частный продавец,67690,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Оранжевый,Средние ручки,0,Хорошее состояние,Частный продавец,103750,Hobo,0,0,0
INT XS,Женское,Клатчи и вечерние сумки,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,0,Отличное состояние,Частный продавец,33000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,1,Новое с биркой,Частный продавец,161000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,CHLOE,Кожа,Бежевый,Средние ручки,1,Отличное состояние,Частный продавец,101000,Kiss,0,0,0
INT XS,Женское,Сумки с короткими ручками,WANDLER,Кожа,Красный,Длинный ремень,1,Отличное состояние,Частный продавец,36000,Ordinary,0,1,0
INT S,Женское,Сумки тоут,DOLCE&GABBANA,Кожа,Красный,Длинный ремень,0,Отличное состояние,Частный продавец,25000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Частный продавец,144000,Diorama,0,0,0
INT XS,Женское,Сумки через плечо,YUZEFI,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,36900,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,COACH,Кожа,Бежевый,Средние ручки,1,Отличное состояние,Частный продавец,27000,Tabby,0,0,1
INT S,Женское,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Частный продавец,50000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,JIL SANDER,Кожа,Зеленый,Средние ручки,0,Хорошее состояние,Частный продавец,17000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Черный,Короткие ручки,0,Хорошее состояние,Частный продавец,45000,Alma,1,0,0
INT L,Женское,Сумки с короткими ручками,LOEWE,Кожа,Серебряный,Короткие ручки,0,Отличное состояние,Частный продавец,12000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Белый,Средние ручки,0,Хорошее состояние,Частный продавец,47000,Ordinary,1,0,0
INT S,Женское,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Частный продавец,23000,Glam Lock,0,0,0
INT S,Женское,Сумки тоут,CHRISTIAN DIOR PRE-OWNED,Ткань,Мульти,Короткие ручки,0,Новое с биркой,Частный продавец,185000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,ULYANA SERGEENKO,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,90000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,200000,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Красный,Длинный ремень,0,Новое с биркой,Частный продавец,323050,Triomphe,0,0,0
INT U,Женское,Сумки через плечо,CELINE PRE-OWNED,Другое,Бежевый,Длинный ремень,0,Новое с биркой,Частный продавец,302860,Triomphe,0,0,0
INT U,Женское,Сумки с короткими ручками,BVLGARI,Экзотическая кожа,Серый,Средние ручки,0,Отличное состояние,Частный продавец,178800,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Коричневый,Короткие ручки,0,Отличное состояние,Частный продавец,121450,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,VALENTINO,Кожа,Розовый,Короткие ручки,0,Отличное состояние,Частный продавец,115000,Ordinary,0,0,0
INT S,Женское,Клатчи и вечерние сумки,J.W.ANDERSON,Кожа,Черный,Короткие ручки,0,Отличное состояние,Частный продавец,40000,Ordinary,0,0,0
INT U,Женское,Клатчи и вечерние сумки,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,0,Новое с биркой,Частный продавец,181720,Ordinary,0,0,0
INT U,Женское,Сумки тоут,SPORTY AND RICH,Хлопок,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,9548,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,GUCCI,Кожа,Черный,Короткие ручки,1,Отличное состояние,Частный продавец,120000,Aphrodite,0,0,1
INT M,Женское,Сумки через плечо,JACQUEMUS,Кожа,Коричневый,Длинный ремень,0,Отличное состояние,Частный продавец,62000,Le Bambino,0,0,0
