Размер,Раздел,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Продавец,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Другое,Голубой,Короткие ручки,0,Новое с биркой,Частный продавец,225000,Jodie,0,0,0
INT XS,Женское,Сумки через плечо,BALENCIAGA,Кожа,Черный,Длинный ремень,1,Новое с биркой,Частный продавец,180000,Cagole,0,0,0
INT M,Женское,Сумки через плечо,GUCCI,Другое,Другое,Короткие ручки,0,Новое с биркой,Частный продавец,112000,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Зеленый,Длинный ремень,0,Новое с биркой,Частный продавец,132500,Lou,0,0,0
INT U,Женское,Сумки тоут,SAINT LAURENT,Кожа,Черный,Длинный ремень,1,Новое с биркой,Частный продавец,240000,Ordinary,0,0,0
INT L,Женское,Сумки тоут,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,1,Новое с биркой,Частный продавец,152000,Ordinary,0,0,0
INT U,Женское,Сумки тоут,SAINT LAURENT,Кожа,Бордовый,Длинный ремень,0,Новое с биркой,Частный продавец,262480,Sac de Jour,0,0,0
INT L,Женское,Сумки с короткими ручками,VERSACE,Кожа,Черный,Средние ручки,0,Хорошее состояние,Частный продавец,36000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Бежевый,Длинный ремень,0,Хорошее состояние,Частный продавец,166670,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,MICHAEL KORS,Кожа,Другое,Длинный ремень,0,Новое с биркой,Частный продавец,14900,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,1,Отличное состояние,Частный продавец,230000,Ordinary,0,1,1
INT M,Женское,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Средние ручки,0,Хорошее состояние,Частный продавец,77380,Ordinary,0,0,0
INT U,Женское,Клатчи и вечерние сумки,DIANE VON FURSTENBERG,Замша,Хаки,Короткие ручки,0,Отличное состояние,Частный продавец,20000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,DIESEL,Деним,Синий,Длинный ремень,0,Новое с биркой,Частный продавец,64000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Зеленый,Длинный ремень,0,Отличное состояние,Частный продавец,95000,Sicily,0,0,0
INT U,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,0,Новое с биркой,Частный продавец,198800,Jodie,0,0,0
INT U,Женское,Рюкзаки,VERSACE JEANS COUTURE,Другое,Черный,Короткие ручки,0,Новое с биркой,Частный продавец,25000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,0,Отличное состояние,Частный продавец,135000,Sicily,0,0,0
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Экзотическая кожа,Желтый,Средние ручки,0,Отличное состояние,Частный продавец,104600,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,PRADA,Кожа,Белый,Короткие ручки,0,Новое с биркой,Частный продавец,429000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,BOTTEGA VENETA,Экзотическая кожа,Черный,Средние ручки,0,Отличное состояние,Частный продавец,152000,Ordinary,1,0,0
INT XL,Женское,Пляжные сумки,PRADA,Другое,Другое,Длинный ремень,0,Новое с биркой,Частный продавец,175000,Ordinary,0,0,0
INT S,Женское,Сумки тоут,CHANEL PRE-OWNED,Кожа,Черный,Средние ручки,0,Хорошее состояние,Частный продавец,145800,Cambon,1,0,0
INT U,Женское,Сумки с короткими ручками,PINKO,Кожа,Черный,Короткие ручки,0,Новое с биркой,Частный продавец,30000,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,GUCCI,Кожа,Зеленый,Длинный ремень,0,Новое с биркой,Частный продавец,800000,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,PINKO,Кожа,Белый,Средние ручки,1,Новое с биркой,Частный продавец,29900,Ordinary,0,1,1
INT U,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Другое,Красный,Длинный ремень,0,Новое с биркой,Частный продавец,105890,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,CHANEL PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Частный продавец,155800,Cambon,0,0,0
INT U,Женское,Сумки через плечо,BALENCIAGA,Кожа,Другое,Длинный ремень,0,Новое с биркой,Частный продавец,105890,Cagole,0,0,0
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Мульти,Короткие ручки,0,Отличное состояние,Частный продавец,155800,Alma,0,0,0
INT S,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,1,Новое с биркой,Частный продавец,83000,Ordinary,0,1,1
INT U,Женское,Рюкзаки,MARC JACOBS,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Частный продавец,45000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,PRADA,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,295000,Pocket,0,0,0
INT M,Женское,Сумки с короткими ручками,SAINT LAURENT,Другое,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,155000,Le 5 a 7,0,0,0
INT S,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,1,Отличное состояние,Частный продавец,230000,Ordinary,0,1,1
INT M,Женское,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Средние ручки,0,Хорошее состояние,Частный продавец,77380,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Серый,Средние ручки,0,Новое с биркой,Частный продавец,183000,Le 5 a 7,0,0,0
INT U,Женское,Клатчи и вечерние сумки,DIANE VON FURSTENBERG,Замша,Хаки,Короткие ручки,0,Отличное состояние,Частный продавец,20000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,DIESEL,Деним,Синий,Длинный ремень,0,Новое с биркой,Частный продавец,64000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Короткие ручки,0,Новое с биркой,Частный продавец,155000,Le 5 a 7,0,0,0
INT U,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,262480,Loulou,0,0,0
INT M,Женское,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Зеленый,Длинный ремень,0,Отличное состояние,Частный продавец,95000,Sicily,0,0,0
INT U,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,0,Новое с биркой,Частный продавец,198800,Jodie,0,0,0
INT U,Женское,Сумки с короткими ручками,SAINT LAURENT,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,170610,Gaby,0,0,0
INT U,Женское,Рюкзаки,VERSACE JEANS COUTURE,Другое,Черный,Короткие ручки,0,Новое с биркой,Частный продавец,25000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,0,Отличное состояние,Частный продавец,135000,Sicily,0,0,0
INT S,Женское,Сумки с короткими ручками,MIU MIU,Другое,Розовый,Длинный ремень,0,Новое с биркой,Частный продавец,225000,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Экзотическая кожа,Желтый,Средние ручки,0,Отличное состояние,Частный продавец,104600,Ordinary,0,0,0
INT M,Женское,Сумки тоут,BOTTEGA VENETA,Экзотическая кожа,Черный,Средние ручки,0,Отличное состояние,Частный продавец,152000,Ordinary,1,0,0
INT M,Женское,Рюкзаки,MICHAEL KORS,Кожа,Коричневый,Средние ручки,1,Новое с биркой,Бутик,28990,Ordinary,0,0,0
